"GameId" "Date" "HomeTeam" "AwayTeam" "HomeGoals" "HomeShots" "AwayGoals" "AwayShots"
"154" 21803 "Game # 154.  5 October 2008, Sunday, " "Torpedo Nizhny Novgorod" "Dynamo M" "3" "31" "0" "23"
"155" 21804 "Game # 155.  5 October 2008, Sunday, " "Salavat Yulaev Ufa" "Metallurg Novokuznetsk" "3" "63" "1" "21"
"156" 21805 "Game # 156.  5 October 2008, Sunday, " "" "Metallurg Magnitogorsk" "4" "18" "0" "27"
"157" 21806 "Game # 157.  6 October 2008, Monday, " "Dinamo Riga" "Dinamo Minsk" "8" "30" "5" "29"
"158" 21807 "Game # 158.  7 October 2008, Tuesday, " "Torpedo Nizhny Novgorod" "Neftekhimik Nizhnekamsk" "4" "28" "2" "31"
"159" 21808 "Game # 159.  7 October 2008, Tuesday, " "HC MVD" "Lada" "3" "24" "1" "19"
"160" 21809 "Game # 160.  7 October 2008, Tuesday, " "Atlant Moscow Region" "Ak Bars Kazan" "6" "29" "1" "23"
"161" 21810 "Game # 161.  7 October 2008, Tuesday, " "Amur Khabarovsk" "Traktor Chelyabinsk" "3" "26" "5" "41"
"162" 21811 "Game # 162.  7 October 2008, Tuesday, " "Sibir Novosibirsk Region" "Metallurg Magnitogorsk" "2" "19" "1" "19"
"163" 21812 "Game # 163.  7 October 2008, Tuesday, " "Spartak Moscow" "Severstal Cherepovets" "8" "35" "2" "27"
"164" 21813 "Game # 164.  8 October 2008, Wednesday, " "CSKA Moscow" "Barys Astana" "4" "36" "3" "39"
"165" 21814 "Game # 165.  8 October 2008, Wednesday, " "Vityaz Moscow Region" "" "2" "32" "1" "23"
"166" 21815 "Game # 166.  9 October 2008, Thursday, " "Torpedo Nizhny Novgorod" "Lada" "2" "33" "3" "27"
"167" 21816 "Game # 167.  9 October 2008, Thursday, " "HC MVD" "Ak Bars Kazan" "2" "21" "3" "21"
"168" 21817 "Game # 168.  9 October 2008, Thursday, " "Atlant Moscow Region" "Neftekhimik Nizhnekamsk" "5" "29" "0" "32"
"169" 21818 "Game # 169.  9 October 2008, Thursday, " "Metallurg Novokuznetsk" "Metallurg Magnitogorsk" "2" "23" "4" "25"
"170" 21819 "Game # 170.  9 October 2008, Thursday, " "Sibir Novosibirsk Region" "Traktor Chelyabinsk" "5" "26" "1" "17"
"171" 21820 "Game # 171.  9 October 2008, Thursday, " "Dinamo Riga" "SKA Saint Petersburg" "1" "17" "1" "40"
"172" 21821 "Game # 172.  9 October 2008, Thursday, " "Dinamo Minsk" "Lokomotiv Yaroslavl" "0" "17" "2" "16"
"173" 21822 "Game # 173.  9 October 2008, Thursday, " "Dynamo M" "Severstal Cherepovets" "4" "29" "1" "23"
"174" 21823 "Game # 174.  9 October 2008, Thursday, " "Spartak Moscow" "Avangard Omsk Region" "2" "22" "5" "21"
"175" 21824 "Game # 175. 10 October 2008, Friday, " "Amur Khabarovsk" "Salavat Yulaev Ufa" "0" "26" "3" "29"
"176" 21825 "Game # 176. 10 October 2008, Friday, " "Spartak Moscow" "" "5" "31" "3" "27"
"177" 21826 "Game # 177. 10 October 2008, Friday, " "Vityaz Moscow Region" "Barys Astana" "4" "21" "5" "32"
"178" 21827 "Game # 178. 11 October 2008, Saturday, " "Torpedo Nizhny Novgorod" "Ak Bars Kazan" "0" "36" "3" "28"
"179" 21828 "Game # 179. 11 October 2008, Saturday, " "HC MVD" "Neftekhimik Nizhnekamsk" "4" "22" "1" "19"
"180" 21829 "Game # 180. 11 October 2008, Saturday, " "Atlant Moscow Region" "Lada" "3" "20" "0" "19"
"181" 21830 "Game # 181. 11 October 2008, Saturday, " "Amur Khabarovsk" "Metallurg Magnitogorsk" "0" "29" "3" "33"
"182" 21831 "Game # 182. 11 October 2008, Saturday, " "Metallurg Novokuznetsk" "Traktor Chelyabinsk" "3" "19" "2" "37"
"183" 21832 "Game # 183. 11 October 2008, Saturday, " "Dinamo Riga" "Severstal Cherepovets" "1" "26" "2" "35"
"184" 21833 "Game # 184. 11 October 2008, Saturday, " "Dinamo Minsk" "SKA Saint Petersburg" "0" "13" "3" "19"
"185" 21834 "Game # 185. 11 October 2008, Saturday, " "Dynamo M" "Lokomotiv Yaroslavl" "2" "28" "0" "23"
"186" 21835 "Game # 186. 11 October 2008, Saturday, " "CSKA Moscow" "Avangard Omsk Region" "4" "23" "2" "24"
"187" 21836 "Game # 187. 12 October 2008, Sunday, " "Metallurg Novokuznetsk" "Salavat Yulaev Ufa" "1" "33" "4" "32"
"188" 21837 "Game # 188. 12 October 2008, Sunday, " "Spartak Moscow" "Barys Astana" "4" "27" "3" "38"
"189" 21838 "Game # 189. 13 October 2008, Monday, " "Dinamo Riga" "Lokomotiv Yaroslavl" "2" "44" "3" "33"
"190" 21839 "Game # 190. 13 October 2008, Monday, " "Dinamo Minsk" "Severstal Cherepovets" "3" "16" "7" "30"
"191" 21840 "Game # 191. 13 October 2008, Monday, " "Dynamo M" "SKA Saint Petersburg" "4" "23" "1" "21"
"192" 21841 "Game # 192. 13 October 2008, Monday, " "Vityaz Moscow Region" "Avangard Omsk Region" "5" "29" "4" "24"
"193" 21842 "Game # 193. 14 October 2008, Tuesday, " "Traktor Chelyabinsk" "HC MVD" "3" "26" "1" "22"
"194" 21843 "Game # 194. 14 October 2008, Tuesday, " "Neftekhimik Nizhnekamsk" "Barys Astana" "4" "19" "2" "25"
"195" 21844 "Game # 195. 14 October 2008, Tuesday, " "Sibir Novosibirsk Region" "Salavat Yulaev Ufa" "2" "14" "9" "19"
"196" 21845 "Game # 196. 15 October 2008, Wednesday, " "" "SKA Saint Petersburg" "2" "14" "2" "26"
"197" 21846 "Game # 197. 16 October 2008, Thursday, " "Metallurg Magnitogorsk" "HC MVD" "5" "39" "0" "37"
"198" 21847 "Game # 198. 16 October 2008, Thursday, " "Neftekhimik Nizhnekamsk" "Spartak Moscow" "6" "30" "1" "21"
"199" 21848 "Game # 199. 17 October 2008, Friday, " "Amur Khabarovsk" "Sibir Novosibirsk Region" "4" "29" "3" "25"
"200" 21849 "Game # 200. 17 October 2008, Friday, " "Metallurg Novokuznetsk" "Atlant Moscow Region" "1" "26" "1" "42"
"201" 21850 "Game # 201. 17 October 2008, Friday, " "Metallurg Magnitogorsk" "Torpedo Nizhny Novgorod" "4" "29" "1" "23"
"202" 21851 "Game # 202. 17 October 2008, Friday, " "Ak Bars Kazan" "CSKA Moscow" "1" "16" "1" "20"
"203" 21852 "Game # 203. 17 October 2008, Friday, " "Lada" "Vityaz Moscow Region" "7" "27" "4" "32"
"204" 21853 "Game # 204. 17 October 2008, Friday, " "Lokomotiv Yaroslavl" "Severstal Cherepovets" "1" "37" "1" "26"
"205" 21854 "Game # 205. 18 October 2008, Saturday, " "Amur Khabarovsk" "Sibir Novosibirsk Region" "1" "26" "2" "25"
"206" 21855 "Game # 206. 18 October 2008, Saturday, " "Salavat Yulaev Ufa" "HC MVD" "3" "35" "1" "23"
"207" 21856 "Game # 207. 18 October 2008, Saturday, " "Ak Bars Kazan" "Spartak Moscow" "3" "35" "2" "18"
"208" 21857 "Game # 208. 25 October 2008, Saturday, " "Avangard Omsk Region" "Dynamo M" "2" "32" "2" "40"
"209" 21858 "Game # 209. 18 October 2008, Saturday, " "Barys Astana" "Dinamo Minsk" "5" "36" "2" "29"
"210" 21859 "Game # 210. 18 October 2008, Saturday, " "" "Dinamo Riga" "1" "22" "2" "24"
"211" 21860 "Game # 211. 19 October 2008, Sunday, " "Metallurg Magnitogorsk" "Atlant Moscow Region" "5" "41" "5" "25"
